Datum i vrijeme,Vrijeme,Naziv grada,Izlazak sunca (UTC),Zalazak sunca (UTC),Dio dana (d = dan / n = noc),Difuzno horizontalno suncevo zracenje (W/m^2),Direktno normalno suncevo zracenje (W/m^2),Globalno horizontalno suncevo zracenje (W/m^2),Procijenjeno_suncevo_zracenje,Solarni elevacioni ugao (stepeni),Solarni satni ugao (stepeni),UV indeks,Temperatura,Aparentna temperatura (�C),Relativna vlaznost (%),Temperatura rose (�C),Oblacnost (%),Vidljivost (km),Padavine (mm/h),Snijeg (mm/h),Pritisak (mb),Brzina vjetra (m/s),Smjer vjetra (stepeni)
2024-02-15:23,00:40:22,Sarajevo,05:44,16:17,n,0,0,0,0,-58.79,-90,0,0,0.7,100,0,50,16,0,0,960.7,0.5,180
2024-02-15:23,00:44:09,Sarajevo,05:44,16:17,n,0,0,0,0,-58.79,-90,0,0,0.7,100,0,50,16,0,0,960.7,0.5,180
2024-02-15:23,00:50:10,Sarajevo,05:44,16:17,n,0,0,0,0,-58.79,-90,0,0,0.7,100,0,50,16,0,0,960.7,0.5,180
2024-02-15:23,00:53:10,Sarajevo,05:44,16:17,n,0,0,0,0,-58.79,-90,0,0,0.7,100,0,50,16,0,0,960.7,0.5,180
2024-02-18:19,20:33:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,4,4.9,75,0,46,16,0,0,966.2,0.5,0
2024-02-18:19,20:36:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,4,4.9,75,0,46,16,0,0,966.2,0.5,0
2024-02-18:19,20:39:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,4,4.9,75,0,46,16,0,0,966.2,0.5,0
2024-02-18:19,20:42:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,4,4.9,75,0,46,16,0,0,966.2,0.5,0
2024-02-18:19,20:45:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,4,4.9,75,0,46,16,0,0,966.2,0.5,0
2024-02-18:19,20:48:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,4,4.9,75,0,46,16,0,0,966.2,0.5,0
2024-02-18:19,20:51:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,4,4.9,75,0,46,16,0,0,966.2,0.5,0
2024-02-18:19,20:54:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,4,4.9,75,0,46,16,0,0,966.2,0.5,0
2024-02-18:19,20:57:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:00:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:03:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:06:51,Sarajevo,05:40,16:21,n,0,0,0,0,-29.43,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:09:51,Sarajevo,05:40,16:21,n,0,0,0,0,-39.63,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:12:51,Sarajevo,05:40,16:21,n,0,0,0,0,-39.63,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:15:51,Sarajevo,05:40,16:21,n,0,0,0,0,-39.63,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:18:51,Sarajevo,05:40,16:21,n,0,0,0,0,-39.63,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:21:51,Sarajevo,05:40,16:21,n,0,0,0,0,-39.63,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
2024-02-18:19,21:24:51,Sarajevo,05:40,16:21,n,0,0,0,0,-39.63,-90,0,3,2.5,80,-0.1,46,16,0,0,966,1,0
