Datum i vrijeme,Vrijeme,Naziv grada,Izlazak sunca (UTC),Zalazak sunca (UTC),Dio dana (d = dan / n = noc),Difuzno horizontalno suncevo zracenje (W/m^2),Direktno normalno suncevo zracenje (W/m^2),Globalno horizontalno suncevo zracenje (W/m^2),Procijenjeno_suncevo_zracenje,Solarni elevacioni ugao (stepeni),Solarni satni ugao (stepeni),UV indeks,Temperatura,Aparentna temperatura (°C),Relativna vlaznost (%),Temperatura rose (°C),Oblacnost (%),Vidljivost (km),Padavine (mm/h),Snijeg (mm/h),Pritisak (mb),Brzina vjetra (m/s),Smjer vjetra (stepeni)
2024-07-10:05,07:19:20,Ljubuški,03:18,18:29,d,66,584,217,167.8,15.7,-67.5,1,23.3,23.5,70,17.5,69,16,0,0,997,0.8,18
2024-07-10:05,07:34:20,Ljubuški,03:18,18:29,d,66,584,217,210.5,15.7,-67.5,1,27.3,28.6,61,19.2,38,16,0,0,997,0.5,346
2024-07-10:05,07:49:20,Ljubuški,03:18,18:29,d,66,584,217,210.5,15.7,-67.5,1,27.3,28.6,61,19.2,38,16,0,0,997,0.5,346
2024-07-10:05,08:04:20,Ljubuški,03:18,18:29,d,86,723,402,390,26.44,-67.5,2,27.3,28.6,61,19.2,38,16,0,0,997,0.5,346
2024-07-10:06,08:19:20,Ljubuški,03:18,18:29,d,86,723,402,390,26.44,-56.2,2,27.3,28.6,61,19.2,38,16,0,0,997,0.5,346
2024-07-10:06,08:34:20,Ljubuški,03:18,18:29,d,86,723,402,402,26.44,-56.2,3,30.8,31.1,43,16.7,0,16,0,0,997,0.7,338
2024-07-10:06,08:49:20,Ljubuški,03:18,18:29,d,86,723,402,402,26.44,-56.2,3,30.5,30.9,45,17,3,16,0,0,998,0.7,340
2024-07-10:06,09:04:20,Ljubuški,03:18,18:29,d,100,807,584,584,37.38,-56.2,4,30.5,30.9,45,17,3,16,0,0,998,0.7,340
2024-07-10:07,09:19:20,Ljubuški,03:18,18:29,d,100,807,584,584,37.38,-45,4,30.5,30.9,45,17,3,16,0,0,998,0.7,340
2024-07-10:07,09:34:20,Ljubuški,03:18,18:29,d,100,807,584,584,37.38,-45,4,32.8,32.9,37,16.3,0,16,0,0,997,1,22
2024-07-10:07,09:49:21,Ljubuški,03:18,18:29,d,100,807,584,584,37.38,-45,4,32.8,32.9,37,16.3,0,16,0,0,997,1,22
2024-07-10:07,10:04:21,Ljubuški,03:18,18:29,d,110,860,744,744,48.17,-45,6,32.8,32.9,37,16.3,0,16,0,0,997,1,22
