Time,app_temp,aqi,city_name,clouds,country_code,datetime,dewpt,dhi,dni,elev_angle,ghi,gust,h_angle,lat,lon,ob_time,pod,precip,pres,rh,slp,snow,solar_rad,sources,state_code,station,sunrise,sunset,temp,timezone,ts,uv,vis,weather,wind_cdir,wind_cdir_full,wind_dir,wind_spd
10:45:11,8,91,Sarajevo,0,BA,2023-12-24:09,4.9,76.13,679.96,18.48,284.59,,-22.5,43.84864,18.35644,2023-12-24 09:12,d,0,953,81,1014,0,284.6,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,8,Europe/Sarajevo,1703409133,1.6727979,16,"{'icon': 'c01d', 'description': 'Clear sky', 'code': 800}",N,north,0,0.5
11:00:11,10,91,Sarajevo,0,BA,2023-12-24:09,5,82.99,729.13,21.93,348.62,,-22.5,43.84864,18.35644,2023-12-24 09:30,d,0,953.4,71,1014,0,348.6,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,10,Europe/Sarajevo,1703410212,1.9255682,16,"{'icon': 'c01d', 'description': 'Clear sky', 'code': 800}",N,north,0,0.5
11:15:13,10,91,Sarajevo,8,BA,2023-12-24:09,5,82.99,729.13,21.93,348.62,,-22.5,43.84864,18.35644,2023-12-24 09:45,d,0,953.4,71,1014,0,348.6,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,10,Europe/Sarajevo,1703411113,1.8192769,16,"{'code': 800, 'icon': 'c01d', 'description': 'Clear sky'}",N,north,0,0.5
11:30:14,10,93,Sarajevo,0,BA,2023-12-24:10,5,82.99,729.13,21.93,348.62,,0,43.84864,18.35644,2023-12-24 10:00,d,0,953.4,71,1014,0,348.6,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,10,Europe/Sarajevo,1703412014,1.9255682,16,"{'code': 800, 'icon': 'c01d', 'description': 'Clear sky'}",N,north,0,0.5
11:45:14,10,93,Sarajevo,0,BA,2023-12-24:10,5,82.99,729.13,21.93,348.62,,0,43.84864,18.35644,2023-12-24 10:13,d,0,953.4,71,1014,0,348.6,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,10,Europe/Sarajevo,1703412799,1.9255682,16,"{'icon': 'c01d', 'description': 'Clear sky', 'code': 800}",N,north,0,0.5
12:00:15,12,98,Sarajevo,0,BA,2023-12-24:10,4.9,84.4,738.84,22.7,362.87,,0,43.84864,18.35644,2023-12-24 10:30,d,0,953.8,62,1014,0,362.9,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,12,Europe/Sarajevo,1703413816,1.991493,16,"{'icon': 'c01d', 'description': 'Clear sky', 'code': 800}",N,north,0,0.5
12:15:16,12,98,Sarajevo,0,BA,2023-12-24:10,4.9,84.4,738.84,22.7,362.87,,0,43.84864,18.35644,2023-12-24 10:45,d,0,953.8,62,1014,0,362.9,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,12,Europe/Sarajevo,1703414717,1.991493,16,"{'icon': 'c01d', 'description': 'Clear sky', 'code': 800}",N,north,0,0.5
12:30:17,13,98,Sarajevo,0,BA,2023-12-24:11,4.9,84.4,738.84,22.7,362.87,,22.5,43.84864,18.35644,2023-12-24 11:00,d,0,954,58,1014,0,362.9,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,13,Europe/Sarajevo,1703415618,1.991493,16,"{'icon': 'c01d', 'description': 'Clear sky', 'code': 800}",N,north,0,1
12:45:18,13,98,Sarajevo,0,BA,2023-12-24:11,4.9,84.4,738.84,22.7,362.87,,22.5,43.84864,18.35644,2023-12-24 11:15,d,0,954,58,1014,0,362.9,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,13,Europe/Sarajevo,1703416519,1.991493,16,"{'code': 800, 'icon': 'c01d', 'description': 'Clear sky'}",N,north,0,1
13:00:19,14,100,Sarajevo,0,BA,2023-12-24:11,4.8,80.62,712.51,20.69,325.51,,22.5,43.84864,18.35644,2023-12-24 11:30,d,0,954.2,54,1014,0,325.5,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,14,Europe/Sarajevo,1703417420,1.8265488,16,"{'description': 'Clear sky', 'code': 800, 'icon': 'c01d'}",SSE,south-southeast,160,1.5
13:15:20,14,100,Sarajevo,0,BA,2023-12-24:11,4.8,80.62,712.51,20.69,325.51,,22.5,43.84864,18.35644,2023-12-24 11:45,d,0,954.2,54,1014,0,325.5,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,14,Europe/Sarajevo,1703418321,1.8265488,16,"{'description': 'Clear sky', 'code': 800, 'icon': 'c01d'}",SSE,south-southeast,160,1.5
13:30:21,14,100,Sarajevo,0,BA,2023-12-24:12,4.8,80.62,712.51,20.69,325.51,,45,43.84864,18.35644,2023-12-24 12:00,d,0,953.3,54,1013,0,325.5,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,14,Europe/Sarajevo,1703419222,1.8265488,16,"{'icon': 'c01d', 'description': 'Clear sky', 'code': 800}",N,north,0,0.5
13:45:22,14,100,Sarajevo,0,BA,2023-12-24:12,4.8,80.62,712.51,20.69,325.51,,45,43.84864,18.35644,2023-12-24 12:15,d,0,953.3,54,1013,0,325.5,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,14,Europe/Sarajevo,1703420123,1.8265488,16,"{'icon': 'c01d', 'description': 'Clear sky', 'code': 800}",N,north,0,0.5
14:00:23,15,95,Sarajevo,0,BA,2023-12-24:12,3.8,70.92,640.27,16.13,241.44,,45,43.84864,18.35644,2023-12-24 12:30,d,0,953.5,47,1013,0,241.4,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,15,Europe/Sarajevo,1703421024,1.539705,16,"{'code': 800, 'icon': 'c01d', 'description': 'Clear sky'}",N,north,0,1
14:15:24,16,95,Sarajevo,25,BA,2023-12-24:13,5,70.92,640.27,16.13,241.44,,67.5,43.84864,18.35644,2023-12-24 13:00,d,0,953.7,48,1013,0,239.7,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,16,Europe/Sarajevo,1703422800,1.2741059,16,"{'code': 801, 'icon': 'c02d', 'description': 'Few clouds'}",N,north,0,0.5
14:30:25,16,95,Sarajevo,71,BA,2023-12-24:13,5,70.92,640.27,16.13,241.44,,67.5,43.84864,18.35644,2023-12-24 13:00,d,0,953.7,48,1013,0,181.2,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,16,Europe/Sarajevo,1703422826,0.78540355,16,"{'code': 803, 'icon': 'c03d', 'description': 'Broken clouds'}",N,north,0,0.5
14:45:27,16,95,Sarajevo,71,BA,2023-12-24:13,5,70.92,640.27,16.13,241.44,,67.5,43.84864,18.35644,2023-12-24 13:15,d,0,953.7,48,1013,0,181.2,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,16,Europe/Sarajevo,1703423728,0.78540355,16,"{'code': 803, 'icon': 'c03d', 'description': 'Broken clouds'}",N,north,0,0.5
15:00:28,16,91,Sarajevo,71,BA,2023-12-24:13,3.7,52.75,484.06,9.49,123.84,,67.5,43.84864,18.35644,2023-12-24 13:30,d,0,953.7,44,1013,0,92.9,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,16,Europe/Sarajevo,1703424629,0.6701761,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03d'}",N,north,0,1
15:15:29,16,91,Sarajevo,71,BA,2023-12-24:13,3.7,52.75,484.06,9.49,123.84,,67.5,43.84864,18.35644,2023-12-24 13:45,d,0,953.7,44,1013,0,92.9,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,16,Europe/Sarajevo,1703425530,0.6701761,16,"{'code': 803, 'icon': 'c03d', 'description': 'Broken clouds'}",N,north,0,1
15:30:30,14,91,Sarajevo,63,BA,2023-12-24:14,3.7,52.75,484.06,9.49,123.84,,90,43.84864,18.35644,2023-12-24 14:00,d,0,953.3,50,1013,0,103.2,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,14,Europe/Sarajevo,1703426431,0.74269855,16,"{'code': 802, 'icon': 'c02d', 'description': 'Scattered clouds'}",SW,southwest,220,2.1
15:45:31,14,91,Sarajevo,63,BA,2023-12-24:14,3.7,52.75,484.06,9.49,123.84,,90,43.84864,18.35644,2023-12-24 14:15,d,0,953.3,50,1013,0,103.2,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,14,Europe/Sarajevo,1703427332,0.74269855,16,"{'code': 802, 'icon': 'c02d', 'description': 'Scattered clouds'}",SW,southwest,220,2.1
16:00:32,12,91,Sarajevo,63,BA,2023-12-24:14,4.9,14.79,80.06,1.25,8.58,,90,43.84864,18.35644,2023-12-24 14:30,d,0,952.9,62,1013,0,7.2,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,12,Europe/Sarajevo,1703428233,0.70671934,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02d'}",SW,southwest,230,1.5
16:15:33,12,82,Sarajevo,63,BA,2023-12-24:14,4.9,14.79,80.06,1.25,8.58,,90,43.84864,18.35644,2023-12-24 14:45,n,0,952.9,62,1013,0,7.2,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,12,Europe/Sarajevo,1703429134,0.70671934,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",SW,southwest,230,1.5
16:30:34,10,82,Sarajevo,73,BA,2023-12-24:15,3.9,14.79,80.06,1.25,8.58,,81,43.84864,18.35644,2023-12-24 15:00,n,0,953.4,66,1014,0,6.2,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,10,Europe/Sarajevo,1703430035,0.6204578,16,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",ESE,east-southeast,120,2.1
16:45:36,10,82,Sarajevo,73,BA,2023-12-24:15,3.9,14.79,80.06,1.25,8.58,,81,43.84864,18.35644,2023-12-24 15:15,n,0,953.4,66,1014,0,6.2,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,10,Europe/Sarajevo,1703430936,0.6204578,16,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",ESE,east-southeast,120,2.1
17:00:37,9,78,Sarajevo,73,BA,2023-12-24:15,3.8,0,0,-8.13,0,,81,43.84864,18.35644,2023-12-24 15:30,n,0,953.2,70,1014,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,9,Europe/Sarajevo,1703431837,0,16,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",N,north,0,1
17:15:38,9,78,Sarajevo,72,BA,2023-12-24:15,3.8,0,0,-8.13,0,,81,43.84864,18.35644,2023-12-24 15:45,n,0,953.2,70,1014,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:13,9,Europe/Sarajevo,1703432738,0,16,"{'code': 803, 'icon': 'c03n', 'description': 'Broken clouds'}",N,north,0,1
17:30:39,8,78,Sarajevo,42,BA,2023-12-24:16,4.9,0,0,-8.13,0,,-90,43.84864,18.35644,2023-12-24 16:00,n,0,953,81,1014,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,8,Europe/Sarajevo,1703433639,0,1,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",SE,southeast,130,1.5
17:45:40,8,78,Sarajevo,42,BA,2023-12-24:16,4.9,0,0,-8.13,0,,-90,43.84864,18.35644,2023-12-24 16:15,n,0,953,81,1014,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,8,Europe/Sarajevo,1703434540,0,1,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",SE,southeast,130,1.5
18:00:41,8.1,72,Sarajevo,40,BA,2023-12-24:16,4,0,0,-18.29,0,,-90,43.84864,18.35644,2023-12-24 16:30,n,0,952.8,81,1014,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,7,Europe/Sarajevo,1703435441,0,1,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",N,north,0,0.5
18:15:42,8.1,72,Sarajevo,73,BA,2023-12-24:16,4,0,0,-18.29,0,,-90,43.84864,18.35644,2023-12-24 16:45,n,0,952.8,81,1014,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,7,Europe/Sarajevo,1703436342,0,1,"{'description': 'Broken clouds', 'code': 803, 'icon': 'c03n'}",N,north,0,0.5
18:30:42,5.9,72,Sarajevo,40,BA,2023-12-24:17,5,0,0,-18.29,0,,-90,43.84864,18.35644,2023-12-24 17:00,n,0,953.5,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,6,Europe/Sarajevo,1703437243,0,0,"{'icon': 'c02n', 'description': 'Few clouds', 'code': 801}",N,north,0,1
18:45:44,6,104,Sarajevo,47,BA,2023-12-24:17,4,0,0,-18.29,0,,-90,43.84864,18.35644,2023-12-24 17:30,n,0,953.3,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703439000,0,0,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",N,north,0,0.5
19:00:45,6,104,Sarajevo,47,BA,2023-12-24:17,4,0,0,-18.29,0,,-90,43.84864,18.35644,2023-12-24 17:30,n,0,953.3,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703439000,0,0,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",N,north,0,0.5
19:15:46,4.8,131,Sarajevo,40,BA,2023-12-24:18,4,0,0,-28.91,0,,-90,43.84864,18.35644,2023-12-24 18:00,n,0,953.3,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703440800,0,1,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",N,north,0,1
19:30:47,4.8,131,Sarajevo,71,BA,2023-12-24:18,4,0,0,-28.91,0,,-90,43.84864,18.35644,2023-12-24 18:00,n,0,953.3,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703440800,0,1,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",N,north,0,1
19:45:48,4.8,131,Sarajevo,66,BA,2023-12-24:18,4,0,0,-28.91,0,,-90,43.84864,18.35644,2023-12-24 18:14,n,0,953.3,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703441647,0,4,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",N,north,0,1
20:00:49,3.7,155,Sarajevo,40,BA,2023-12-24:18,3,0,0,-28.91,0,,-90,43.84864,18.35644,2023-12-24 18:30,n,0,953.1,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,4,Europe/Sarajevo,1703442600,0,4,"{'description': 'Few clouds', 'code': 801, 'icon': 'c02n'}",N,north,0,1
20:15:50,3.7,179,Sarajevo,42,BA,2023-12-24:18,3,0,0,-39.71,0,,-90,43.84864,18.35644,2023-12-24 18:44,n,0,953.1,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,4,Europe/Sarajevo,1703443447,0,4,"{'icon': 'c02n', 'description': 'Scattered clouds', 'code': 802}",N,north,0,1
20:30:51,3.7,179,Sarajevo,44,BA,2023-12-24:19,3,0,0,-39.71,0,,-90,43.84864,18.35644,2023-12-24 19:00,n,0,953.1,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,4,Europe/Sarajevo,1703444400,0,4,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",N,north,0,1
20:45:52,3.7,179,Sarajevo,44,BA,2023-12-24:19,3,0,0,-39.71,0,,-90,43.84864,18.35644,2023-12-24 19:14,n,0,953.1,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,4,Europe/Sarajevo,1703445248,0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",N,north,0,1
21:00:52,4,179,Sarajevo,46,BA,2023-12-24:19,4,0,0,-39.71,0,,-90,43.84864,18.35644,2023-12-24 19:30,n,0,953.3,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703446200,0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",NW,northwest,310,1.5
21:15:53,4,177,Sarajevo,60,BA,2023-12-24:19,4,0,0,-50.32,0,,-90,43.84864,18.35644,2023-12-24 19:45,n,0,953.3,93,1015,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703447154,0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",NW,northwest,310,1.5
21:30:54,2.5,177,Sarajevo,80,BA,2023-12-24:20,4,0,0,-50.32,0,,-90,43.84864,18.35644,2023-12-24 20:00,n,0,954.3,93,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703448055,0,16,"{'code': 803, 'icon': 'c03n', 'description': 'Broken clouds'}",ESE,east-southeast,110,3.1
21:45:55,2.5,177,Sarajevo,80,BA,2023-12-24:20,4,0,0,-50.32,0,,-90,43.84864,18.35644,2023-12-24 20:15,n,0,954.3,93,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703448956,0,16,"{'code': 803, 'icon': 'c03n', 'description': 'Broken clouds'}",ESE,east-southeast,110,3.1
22:00:56,6,183,Sarajevo,51,BA,2023-12-24:20,4,0,0,-60.07,0,,-90,43.84864,18.35644,2023-12-24 20:30,n,0,954.3,93,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703449857,0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",N,north,0,0.5
22:15:57,6,130,Sarajevo,44,BA,2023-12-24:20,4,0,0,-60.07,0,,-90,43.84864,18.35644,2023-12-24 20:45,n,0,954.3,93,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703450758,0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",N,north,0,0.5
22:30:58,4.8,130,Sarajevo,46,BA,2023-12-24:21,4,0,0,-60.07,0,,-90,43.84864,18.35644,2023-12-24 21:00,n,0,954.3,93,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703451659,0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",N,north,0,1
22:45:59,4.8,130,Sarajevo,52,BA,2023-12-24:21,4,0,0,-60.07,0,,-90,43.84864,18.35644,2023-12-24 21:15,n,0,954.3,93,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,5,Europe/Sarajevo,1703452560,0,16,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",N,north,0,1
23:01:00,3.7,130,Sarajevo,52,BA,2023-12-24:21,3,0,0,-67.43,0,,-90,43.84864,18.35644,2023-12-24 21:31,n,0,954,93,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,4,Europe/Sarajevo,1703453461,0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",N,north,0,1
23:16:01,7.7,158,Sarajevo,57,BA,2023-12-24:22,3.8,0,0,-67.43,0,3.09,-90,43.84864,18.35644,2023-12-24 22:01,n,0,946,76,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.7,Europe/Sarajevo,1703455262,0,16,"{'icon': 'c02n', 'description': 'Scattered clouds', 'code': 802}",WSW,west-southwest,254,1.03
23:31:02,7.5,152,Sarajevo,45,BA,2023-12-24:22,3.6,0,0,-67.43,0,3.09,-90,43.84864,18.35644,2023-12-24 22:16,n,0,946,76,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.5,Europe/Sarajevo,1703456163,0,16,"{'description': 'Scattered clouds', 'code': 802, 'icon': 'c02n'}",WSW,west-southwest,255,1.03
23:46:04,7.5,152,Sarajevo,45,BA,2023-12-24:22,3.6,0,0,-67.43,0,3.09,-90,43.84864,18.35644,2023-12-24 22:31,n,0,946,76,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.5,Europe/Sarajevo,1703457064,0,16,"{'icon': 'c02n', 'description': 'Scattered clouds', 'code': 802}",WSW,west-southwest,255,1.03
00:01:04,8.2,152,Sarajevo,51,BA,2023-12-24:22,3.9,0,0,-69.38,0,2.57,-90,43.84864,18.35644,2023-12-24 22:46,n,0,946,80,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.2,Europe/Sarajevo,1703457965,0,16,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",SW,southwest,232,0.51
00:16:06,8.2,152,Sarajevo,48,BA,2023-12-24:22,3.9,0,0,-69.38,0,2.57,-90,43.84864,18.35644,2023-12-24 23:01,n,0,946,80,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.2,Europe/Sarajevo,1703458866,0,16,"{'code': 802, 'icon': 'c02n', 'description': 'Scattered clouds'}",SW,southwest,232,0.51
00:31:07,7.9,152,Sarajevo,51,BA,2023-12-24:23,4,0,0,-69.38,0,3.09,-90,43.84864,18.35644,2023-12-24 23:16,n,0,946,82,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,6.9,Europe/Sarajevo,1703459767,0,16,"{'icon': 'c02n', 'description': 'Scattered clouds', 'code': 802}",WSW,west-southwest,256,0.51
00:46:08,7.9,229,Sarajevo,50,BA,2023-12-24:23,4,0,0,-69.38,0,3.09,-90,43.84864,18.35644,2023-12-24 23:31,n,0,946,82,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,6.9,Europe/Sarajevo,1703460668,0,16,"{'icon': 'c02n', 'description': 'Scattered clouds', 'code': 802}",WSW,west-southwest,256,0.51
01:01:09,7.6,229,Sarajevo,50,BA,2023-12-24:23,3.8,0,0,-64.62,0,3.09,-90,43.84864,18.35644,2023-12-24 23:46,n,0,946,77,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.6,Europe/Sarajevo,1703461569,0,16,"{'icon': 'a05n', 'description': 'Fog', 'code': 741}",W,west,266,0.51
01:16:10,7.6,229,Sarajevo,46,BA,2023-12-25:00,3.8,0,0,-64.62,0,3.09,-90,43.84864,18.35644,2023-12-25 00:01,n,0,946,77,1017.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.6,Europe/Sarajevo,1703462470,0,16,"{'icon': 'a05n', 'description': 'Fog', 'code': 741}",W,west,266,0.51
01:31:11,7.4,229,Sarajevo,49,BA,2023-12-25:00,3.9,0,0,-64.62,0,3.09,-90,43.84864,18.35644,2023-12-25 00:16,n,0,947,78,1018.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.4,Europe/Sarajevo,1703463371,0,16,"{'code': 741, 'icon': 'a05n', 'description': 'Fog'}",W,west,273,0.51
01:46:12,7.1,180,Sarajevo,49,BA,2023-12-25:00,3.8,0,0,-64.62,0,3.09,-90,43.84864,18.35644,2023-12-25 00:31,n,0,947,79,1018.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.2,Europe/Sarajevo,1703464272,0,16,"{'icon': 'a05n', 'description': 'Fog', 'code': 741}",W,west,280,1.03
02:01:13,7.1,154,Sarajevo,49,BA,2023-12-25:00,3.8,0,0,-55.91,0,3.09,-90,43.84864,18.35644,2023-12-25 00:46,n,0,947,79,1018.5,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.2,Europe/Sarajevo,1703465173,0,16,"{'icon': 'a05n', 'description': 'Fog', 'code': 741}",W,west,280,1.03
02:16:14,7.1,154,Sarajevo,47,BA,2023-12-25:00,3.8,0,0,-55.91,0,3.09,-90,43.84864,18.35644,2023-12-25 01:01,n,0,946.5,79,1018,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,7.2,Europe/Sarajevo,1703466074,0,16,"{'icon': 'a05n', 'description': 'Fog', 'code': 741}",W,west,280,1.03
02:31:15,7.8,154,Sarajevo,52,BA,2023-12-25:01,3.7,0,0,-55.91,0,3.09,-90,43.84864,18.35644,2023-12-25 01:16,n,0,946.5,81,1018,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,6.8,Europe/Sarajevo,1703466975,0,16,"{'description': 'Fog', 'code': 741, 'icon': 'a05n'}",W,west,266,0.51
02:46:16,7.8,154,Sarajevo,52,BA,2023-12-25:01,3.5,0,0,-55.91,0,3.09,-90,43.84864,18.35644,2023-12-25 01:31,n,0,946.5,79,1018,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,6.8,Europe/Sarajevo,1703467876,0,16,"{'icon': 'a05n', 'code': 741, 'description': 'Fog'}",W,west,269,0.51
03:01:17,0.6,154,Sarajevo,80,BA,2023-12-25:01,2,0,0,-45.66,0,,-90,43.84864,18.35644,2023-12-25 01:31,n,0,953.6,100,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,2,Europe/Sarajevo,1703467877,0,16,"{'icon': 'a05n', 'code': 741, 'description': 'Fog'}",NNW,north-northwest,340,1.5
03:16:18,0.6,110,Sarajevo,80,BA,2023-12-25:01,2,0,0,-45.66,0,,-90,43.84864,18.35644,2023-12-25 01:46,n,0,953.6,100,1016,0,0,"['LQSA', 'radar', 'satellite']",01,LQSA,06:18,15:14,2,Europe/Sarajevo,1703468778,0,16,"{'description': 'Fog', 'icon': 'a05n', 'code': 741}",NNW,north-northwest,340,1.5
03:31:19,7.6,110,Sarajevo,60,BA,2023-12-25:02,3.1,0,0,-45.66,0,3.09,-90,43.84864,18.35644,2023-12-25 02:16,n,0,946.5,78,1018,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,6.6,Europe/Sarajevo,1703470579,0,16,"{'description': 'Fog', 'code': 741, 'icon': 'a05n'}",W,west,261,0.51
03:46:20,7.2,110,Sarajevo,52,BA,2023-12-25:02,3.1,0,0,-45.66,0,3.09,-90,43.84864,18.35644,2023-12-25 02:31,n,0,946.5,81,1018,0,0,"['analysis', 'radar', 'satellite']",01,LQSA,06:18,15:14,6.2,Europe/Sarajevo,1703471480,0,16,"{'description': 'Fog', 'code': 741, 'icon': 'a05n'}",W,west,260,0.51
