datetime,Time,city_name,lat,lon,sunrise,sunset,pres,slp,wind_spd,gust,app_temp,wind_dir,wind_cdir_full,temp,app_temp,rh,dewpt,clouds,pod,vis,precip,snow,uv,aqi,dhi,dni,ghi,solar_rad,elev_angle,h_angle
2024-02-14:22,23:55:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.4,1025,1,,-1.9,300,west-northwest,-1,-1.9,92,-2.1,53,n,16,0,0,0,104,0,0,0,0,-56.5,-90
2024-02-14:22,00:10:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.4,1025,1,,-1.9,300,west-northwest,-1,-1.9,92,-2.1,53,n,16,0,0,0,131,0,0,0,0,-59.13,-90
2024-02-14:23,00:25:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.4,1025,0.5,,-0.4,170,south,-1,-0.4,92,-2.1,54,n,16,0,0,0,131,0,0,0,0,-59.13,-90
2024-02-14:23,00:40:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.4,1025,0.5,,-0.4,170,south,-1,-0.4,92,-2.1,54,n,16,0,0,0,131,0,0,0,0,-59.13,-90
2024-02-14:23,00:55:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.4,1025,1,,-1.9,0,north,-1,-1.9,92,-2.1,54,n,16,0,0,0,131,0,0,0,0,-59.13,-90
2024-02-14:23,01:10:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.4,1025,1,,-1.9,0,north,-1,-1.9,92,-2.1,54,n,16,0,0,0,152,0,0,0,0,-56.61,-90
2024-02-15:00,01:25:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,1,,-3,0,north,-2,-3,100,-2,54,n,16,0,0,0,157,0,0,0,0,-56.61,-90
2024-02-15:00,01:40:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,1,,-3,0,north,-2,-3,100,-2,54,n,16,0,0,0,157,0,0,0,0,-56.61,-90
2024-02-15:00,01:55:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,0.5,,-1.4,0,north,-2,-1.4,100,-2,54,n,16,0,0,0,157,0,0,0,0,-56.61,-90
2024-02-15:00,02:10:13,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,0.5,,-1.4,0,north,-2,-1.4,100,-2,54,n,16,0,0,0,157,0,0,0,0,-49.92,-90
2024-02-15:01,02:25:14,Sarajevo,43.84864,18.35644,05:46,16:16,961.4,1025,1,,-1.9,320,northwest,-1,-1.9,92,-2.1,54,n,16,0,0,0,171,0,0,0,0,-49.92,-90
2024-02-15:01,02:40:14,Sarajevo,43.84864,18.35644,05:46,16:16,961.4,1025,1,,-1.9,320,northwest,-1,-1.9,92,-2.1,54,n,16,0,0,0,171,0,0,0,0,-49.92,-90
2024-02-15:01,02:55:14,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,1,,-3,0,north,-2,-3,100,-2,54,n,16,0,0,0,171,0,0,0,0,-49.92,-90
2024-02-15:01,03:10:14,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,1,,-3,0,north,-2,-3,100,-2,54,n,16,0,0,0,171,0,0,0,0,-40.83,-90
2024-02-15:02,03:25:14,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,0.5,,-1.4,120,east-southeast,-2,-1.4,100,-2,54,n,16,0,0,0,171,0,0,0,0,-40.83,-90
2024-02-15:02,03:40:14,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,0.5,,-1.4,120,east-southeast,-2,-1.4,100,-2,54,n,16,0,0,0,177,0,0,0,0,-40.83,-90
2024-02-15:02,03:55:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,0.5,,-2.5,0,north,-3,-2.5,100,-3,54,n,16,0,0,0,177,0,0,0,0,-40.83,-90
2024-02-15:02,04:10:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,0.5,,-2.5,0,north,-3,-2.5,100,-3,54,n,16,0,0,0,177,0,0,0,0,-30.56,-90
2024-02-15:03,04:25:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,0.5,,-2.5,0,north,-3,-2.5,100,-3,54,n,16,0,0,0,177,0,0,0,0,-30.56,-90
2024-02-15:03,04:40:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,0.5,,-2.5,0,north,-3,-2.5,100,-3,56,n,16,0,0,0,177,0,0,0,0,-30.56,-90
2024-02-15:03,04:55:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,0.5,,-2.5,100,east,-3,-2.5,100,-3,56,n,16,0,0,0,155,0,0,0,0,-30.56,-90
2024-02-15:03,05:10:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,0.5,,-2.5,100,east,-3,-2.5,100,-3,56,n,16,0,0,0,155,0,0,0,0,-19.81,-90
2024-02-15:04,05:25:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,1,,-4.1,100,east,-3,-4.1,100,-3,56,n,16,0,0,0,155,0,0,0,0,-19.81,-90
2024-02-15:04,05:40:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,1,,-4.1,100,east,-3,-4.1,100,-3,54,n,16,0,0,0,155,0,0,0,0,-19.81,-90
2024-02-15:04,05:55:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,0.5,,-2.5,0,north,-3,-2.5,100,-3,57,n,16,0,0,0,160,0,0,0,0,-19.81,-90
2024-02-15:04,06:10:14,Sarajevo,43.84864,18.35644,05:46,16:16,960.9,1025,0.5,,-2.5,0,north,-3,-2.5,100,-3,57,n,16,0,0,0,160,0,0,0,0,-9.02,-90
2024-02-15:05,06:25:14,Sarajevo,43.84864,18.35644,05:46,16:16,961.1,1025,0.5,,-1.4,0,north,-2,-1.4,100,-2,58,d,16,0,0,0,160,0,0,0,0,-9.02,-90
2024-02-15:16,17:59:11,Sarajevo,43.84864,18.35644,05:44,16:16,961.5,1023,1,,8,100,east,8,61,0.9,54,n,16,0,0,0.7845669,168,18.63,120.88,13.88,12.5,1.84,75
