datetime,Time,city_name,lat,lon,sunrise,sunset,pres,slp,wind_spd,gust,app_temp,wind_dir,wind_cdir_full,temp,app_temp,rh,dewpt,clouds,pod,vis,precip,snow,uv,aqi,dhi,dni,ghi,solar_rad,elev_angle,h_angle
2024-02-12:22,00:24:14,Sarajevo,43.84864,18.35644,05:49,16:13,947.9,1009,1,,5.9,0,north,6,5.9,100,6,85,n,0,0,0,0,95,0,0,0,0,-59.81,-90
2024-02-12:23,00:39:14,Sarajevo,43.84864,18.35644,05:49,16:13,947.9,1009,1,,5.9,330,north-northwest,6,5.9,100,6,85,n,0,0,0,0,110,0,0,0,0,-59.81,-90
2024-02-12:23,00:54:14,Sarajevo,43.84864,18.35644,05:49,16:13,947.9,1009,1,,5.9,330,north-northwest,6,5.9,100,6,86,n,0,0,0,0,110,0,0,0,0,-59.81,-90
2024-02-12:23,01:09:14,Sarajevo,43.84864,18.35644,05:49,16:13,947.9,1009,0.5,,7,0,north,6,7,100,6,0,n,0,0,0,0,115,0,0,0,0,-57.25,-90
2024-02-13:00,01:24:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.8,1010,1,,5.9,180,south,6,5.9,100,6,86,n,0,0,0,0,115,0,0,0,0,-57.25,-90
2024-02-13:00,01:39:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.8,1010,1,,5.9,180,south,6,5.9,100,6,86,n,0,1,0,0,126,0,0,0,0,-57.25,-90
2024-02-13:00,01:54:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.8,1010,1,,5.9,0,north,6,5.9,100,6,86,n,0,0,0,0,126,0,0,0,0,-57.25,-90
2024-02-13:00,02:09:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.8,1010,1,,5.9,0,north,6,5.9,100,6,86,n,0,1,0,0,145,0,0,0,0,-50.49,-90
2024-02-13:01,02:24:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.8,1010,1,,5.9,0,north,6,5.9,100,6,87,n,0,0,0,0,145,0,0,0,0,-50.49,-90
2024-02-13:01,02:39:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.8,1010,1,,5.9,0,north,6,5.9,100,6,87,n,0,0,0,0,145,0,0,0,0,-50.49,-90
2024-02-13:01,02:54:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.8,1010,1,,5.9,0,north,6,5.9,100,6,87,n,0,0,0,0,131,0,0,0,0,-50.49,-90
2024-02-13:01,03:09:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.8,1010,1,,5.9,270,west,6,5.9,100,6,87,n,0,0,0,0,129,0,0,0,0,-41.34,-90
2024-02-13:02,03:24:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.6,1010,0.5,,6,0,north,5,6,100,5,88,n,0,0,0,0,129,0,0,0,0,-41.34,-90
2024-02-13:02,03:39:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.6,1010,0.5,,6,0,north,5,6,100,5,90,n,0,0,0,0,129,0,0,0,0,-41.34,-90
2024-02-13:02,03:54:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.6,1010,0.5,,6,0,north,5,6,100,5,89,n,0,0,0,0,129,0,0,0,0,-41.34,-90
2024-02-13:02,04:09:15,Sarajevo,43.84864,18.35644,05:49,16:13,948.6,1010,0.5,,6,0,north,5,6,100,5,89,n,0,0,0,0,115,0,0,0,0,-31.03,-90
2024-02-13:03,04:24:15,Sarajevo,43.84864,18.35644,05:49,16:13,949.6,1011,0.5,,6,290,west-northwest,5,6,100,5,89,n,0,0,0,0,115,0,0,0,0,-31.03,-90
2024-02-13:03,04:39:15,Sarajevo,43.84864,18.35644,05:49,16:13,949.6,1011,0.5,,6,290,west-northwest,5,6,100,5,89,n,0,0,0,0,115,0,0,0,0,-31.03,-90
2024-02-13:03,04:54:15,Sarajevo,43.84864,18.35644,05:49,16:13,949.6,1011,0.5,,6,290,west-northwest,5,6,100,5,88,n,0,0,0,0,115,0,0,0,0,-31.03,-90
2024-02-13:03,05:09:15,Sarajevo,43.84864,18.35644,05:49,16:13,949.6,1011,1,,4.8,0,north,5,4.8,100,5,93,n,0,0,0,0,102,0,0,0,0,-20.28,-90
2024-02-13:04,05:24:15,Sarajevo,43.84864,18.35644,05:49,16:13,949.6,1011,0.5,,6,330,north-northwest,5,6,100,5,94,n,0,0,0,0,102,0,0,0,0,-20.28,-90
2024-02-13:04,05:39:15,Sarajevo,43.84864,18.35644,05:49,16:13,949.6,1011,0.5,,6,330,north-northwest,5,6,100,5,93,n,0,0,0,0,102,0,0,0,0,-20.28,-90
2024-02-13:04,05:54:15,Sarajevo,43.84864,18.35644,05:49,16:13,949.6,1011,0.5,,6,270,west,5,6,100,5,94,n,0,0,0,0,102,0,0,0,0,-20.28,-90
2024-02-13:04,06:09:15,Sarajevo,43.84864,18.35644,05:49,16:13,949.6,1011,0.5,,6,270,west,5,6,100,5,94,n,0,0,0,0,100,0,0,0,0,-9.49,-90
2024-02-13:05,06:24:15,Sarajevo,43.84864,18.35644,05:49,16:13,950.5,1012,1,,4.8,330,north-northwest,5,4.8,100,5,88,d,0,0,0,0,102,0,0,0,0,-9.49,-90
2024-02-13:05,06:39:15,Sarajevo,43.84864,18.35644,05:49,16:13,950.5,1012,1,,4.8,330,north-northwest,5,4.8,100,5,88,d,0,0,0,0,102,0,0,0,0,-9.49,-90
2024-02-13:05,06:54:15,Sarajevo,43.84864,18.35644,05:49,16:13,950.5,1012,1,,4.8,330,north-northwest,5,4.8,100,5,87,d,0,0,0,0,102,0,0,0,0,-9.49,-90
2024-02-13:05,07:09:15,Sarajevo,43.84864,18.35644,05:49,16:13,950.5,1012,1,,4.8,330,north-northwest,5,4.8,100,5,87,d,0,0,0,0.49965724,107,12.63,59.73,6.26,2.8,0.97,-90
2024-02-13:06,07:24:15,Sarajevo,43.84864,18.35644,05:47,16:13,951.4,1013,1.5,,4,330,north-northwest,5,4,100,5,87,d,0,0,0,0.49965724,107,12.63,59.73,6.26,2.8,0.97,-75
2024-02-13:06,07:39:15,Sarajevo,43.84864,18.35644,05:47,16:13,951.4,1013,1.5,,4,330,north-northwest,5,4,100,5,88,d,0,0,0,0.4910317,104,12.63,59.73,6.26,2.6,0.97,-75
2024-02-13:06,07:54:16,Sarajevo,43.84864,18.35644,05:47,16:13,951.4,1013,1,,4.8,0,north,5,4.8,100,5,88,d,0,0,0,0.4910317,104,12.63,59.73,6.26,2.6,0.97,-75
2024-02-13:06,08:09:16,Sarajevo,43.84864,18.35644,05:47,16:13,951.4,1013,1,,4.8,0,north,5,4.8,100,5,88,d,0,0,0,0.5266363,104,56.24,516.28,144.17,60.2,10.75,-75
2024-02-13:07,08:24:16,Sarajevo,43.84864,18.35644,05:47,16:13,961.9,1013,1,,4.8,340,north-northwest,5,4.8,100,5,88,d,0,0,0,0.5266363,104,56.24,516.28,144.17,60.2,10.75,-60
2024-02-13:07,08:39:16,Sarajevo,43.84864,18.35644,05:47,16:13,961.9,1013,1,,4.8,340,north-northwest,5,4.8,100,5,88,d,6,0,0,0.5266363,104,56.24,516.28,144.17,60.2,10.75,-60
2024-02-13:07,08:54:16,Sarajevo,43.84864,18.35644,05:47,16:13,961.9,1013,1,,4.8,340,north-northwest,5,4.8,100,5,88,d,6,0,0,0.5266363,107,56.24,516.28,144.17,60.2,10.75,-60
2024-02-13:07,09:09:16,Sarajevo,43.84864,18.35644,05:47,16:13,952.4,1014,1,,4.8,0,north,5,4.8,100,5,87,d,6,1,0,0.69159514,107,77.45,688.7,299.44,131.6,19.41,-60
2024-02-13:07,09:24:16,Sarajevo,43.84864,18.35644,05:47,16:13,952.4,1014,1,,4.8,0,north,5,4.8,100,5,88,d,6,1,0,0.6796562,107,77.45,688.7,299.44,124.9,19.41,-60
2024-02-13:08,09:39:16,Sarajevo,43.84864,18.35644,05:47,16:13,952.6,1014,2.1,,4.5,310,northwest,6,4.5,100,6,88,d,2,1,0,0.6796562,107,77.45,688.7,299.44,124.9,19.41,-45
2024-02-13:08,09:54:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.5,1015,3.1,,3.7,310,northwest,6,3.7,93,5,88,d,2,1,0,0.6796562,112,77.45,688.7,299.44,124.9,19.41,-45
2024-02-13:08,10:09:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.5,1015,3.1,,3.7,310,northwest,6,3.7,93,5,88,d,2,0,0,0.92303175,118,90,774.39,427.88,178.5,26.4,-45
2024-02-13:09,10:24:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.5,1015,3.1,,3.7,300,west-northwest,6,3.7,93,5,88,d,2,0,0,0.92303175,118,90,774.39,427.88,178.5,26.4,-30
2024-02-13:09,10:39:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.5,1015,3.1,,3.7,300,west-northwest,6,3.7,93,5,88,d,0,0,0,0.92303175,118,90,774.39,427.88,178.5,26.4,-30
2024-02-13:09,10:54:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,4.1,,4.3,300,west-northwest,7,4.3,87,5,88,d,0,0,0,0.92303175,118,90,774.39,427.88,200.7,26.4,-30
2024-02-13:09,11:09:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,4.1,,4.3,300,west-northwest,7,4.3,87,5,88,d,0,0,0,1.1478223,123,96.88,816.98,511.71,240,31.04,-30
2024-02-13:10,11:24:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,3.6,,4.6,300,west-northwest,7,4.6,81,4,89,d,0,0,0,1.1276593,123,96.88,816.98,511.71,229.4,31.04,-15
2024-02-13:10,11:39:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,3.6,,4.6,300,west-northwest,7,4.6,81,4,89,d,0,0,0,1.1276593,123,96.88,816.98,511.71,229.4,31.04,-15
2024-02-13:10,11:54:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,3.6,,4.6,290,west-northwest,7,4.6,81,4,89,d,0,0,0,1.1276593,123,96.88,816.98,511.71,229.4,31.04,-15
2024-02-13:10,12:09:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,3.6,,4.6,290,west-northwest,7,4.6,81,4,89,d,0,0,0,1.2190148,131,99.13,830.32,541.43,242.7,32.71,-15
2024-02-13:11,12:24:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,4.1,,4.3,300,west-northwest,7,4.3,87,5,90,d,0,0,0,1.1972185,123,99.13,830.32,541.43,231.1,32.71,0
2024-02-13:11,12:39:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,4.1,,4.3,300,west-northwest,7,4.3,87,5,90,d,0,0,0,1.1972185,123,99.13,830.32,541.43,231.1,32.71,0
2024-02-13:11,12:54:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,4.6,,4.1,310,northwest,7,4.1,87,5,89,d,0,1,0,1.2190148,123,99.13,830.32,541.43,242.7,32.71,0
2024-02-13:11,13:09:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,4.6,,4.1,310,northwest,7,4.1,87,5,88,d,0,1,0,1.1543022,123,97.04,817.97,513.86,241,31.16,0
2024-02-13:12,13:24:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,3.1,,4.9,300,west-northwest,7,4.9,93,5.9,88,d,0,1,0,1.1543022,118,97.04,817.97,513.86,214.4,31.16,15
2024-02-13:12,13:39:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,3.1,,4.9,300,west-northwest,7,4.9,93,5.9,84,d,0,1,0,1.235409,107,97.04,817.97,513.86,258.2,31.16,15
2024-02-13:12,13:54:16,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,3.1,,4.9,270,west,7,4.9,87,5,83,d,0,1,0,1.2556857,107,97.04,817.97,513.86,290.2,31.16,15
2024-02-13:12,14:09:17,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,3.1,,4.9,270,west,7,4.9,87,5,83,d,0,1,0,1.0145378,107,90.35,776.66,431.96,244,26.62,15
2024-02-13:13,14:24:17,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,5.1,,3.8,320,northwest,7,3.8,87,5,81,d,0,1,0,1.0473031,107,90.35,776.66,431.96,258.9,26.62,30
2024-02-13:13,14:39:17,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,5.1,,3.8,320,northwest,7,3.8,87,5,81,d,1,1,0,1.0473031,71,90.35,776.66,431.96,258.9,26.62,30
2024-02-13:13,14:54:17,Sarajevo,43.84864,18.35644,05:47,16:13,953.7,1015,5.1,,3.8,320,northwest,7,3.8,87,5,83,d,1,1,0,1.0145378,71,90.35,776.66,431.96,244,26.62,30
2024-02-13:13,15:09:17,Sarajevo,43.84864,18.35644,05:47,16:13,953.5,1015,5.7,,2.3,290,west-northwest,6,2.3,86,3.8,83,d,1,0,0,0.74838126,71,78.06,693.11,305,172.3,19.72,30
2024-02-13:14,15:24:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.5,1016,4.1,,3.1,300,west-northwest,6,3.1,86,3.8,86,d,1,0,0,0.7121269,71,78.06,693.11,305,155.2,19.72,45
2024-02-13:14,15:39:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.5,1016,4.1,,3.1,300,west-northwest,6,3.1,86,3.8,81,d,0,0,0,0.7725508,71,78.06,693.11,305,182.8,19.72,45
2024-02-13:14,15:54:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.7,1016,3.1,,4.9,310,northwest,7,4.9,81,4,82,d,0,1,0,0.76046604,53,78.06,693.11,305,177.6,19.72,45
2024-02-13:14,16:09:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.7,1016,3.1,,4.9,310,northwest,7,4.9,81,4,81,d,0,0,0,0.59535885,53,57.3,525.84,150.32,90.1,11.11,45
2024-02-13:15,16:24:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.7,1016,4.1,,4.3,290,west-northwest,7,4.3,81,4,82,d,0,1,0,0.5860458,53,57.3,525.84,150.32,87.5,11.11,60
2024-02-13:15,16:39:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.7,1016,4.1,,4.3,290,west-northwest,7,4.3,81,4,82,d,0,1,0,0.5860458,53,57.3,525.84,150.32,87.5,11.11,60
2024-02-13:15,16:54:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.7,1016,5.1,,3.8,300,west-northwest,7,3.8,81,4,82,d,0,1,0,0.5860458,53,57.3,525.84,150.32,87.5,11.11,60
2024-02-13:15,17:09:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.7,1016,5.1,,3.8,300,west-northwest,7,3.8,81,4,82,d,0,1,0,0.54284185,53,15.48,87.55,9.49,5.5,1.36,60
2024-02-13:16,17:24:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.5,1016,2.6,,4,310,northwest,6,4,81,3,82,n,0,1,0,0.54284185,53,15.48,87.55,9.49,5.5,1.36,75
2024-02-13:16,17:39:17,Sarajevo,43.84864,18.35644,05:47,16:13,954.5,1016,2.6,,4,310,northwest,6,4,81,3,80,n,0,0,0,0.56009483,53,15.48,87.55,9.49,5.8,1.36,75
2024-02-13:16,17:54:17,Sarajevo,43.84864,18.35644,05:47,16:13,955.6,1017,3.1,,4.9,310,northwest,7,4.9,75,2.9,82,n,0,0,0,0.54284185,53,15.48,87.55,9.49,5.6,1.36,75
2024-02-13:16,18:09:17,Sarajevo,43.84864,18.35644,05:47,16:13,955.6,1017,3.1,,4.9,310,northwest,7,4.9,75,2.9,83,n,0,0,0,0,52,0,0,0,0,-9.07,75
2024-02-13:17,18:24:17,Sarajevo,43.84864,18.35644,05:47,16:14,955.4,1017,4.6,,2.8,300,west-northwest,6,2.8,81,3,83,n,0,1,0,0,63,0,0,0,0,-9.07,-90
2024-02-13:17,18:39:17,Sarajevo,43.84864,18.35644,05:47,16:14,955.4,1017,4.6,,2.8,300,west-northwest,6,2.8,81,3,83,n,0,1,0,0,63,0,0,0,0,-9.07,-90
